Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
315,39100480,34635776,101.1,1072700283.99
316,38995498,34635776,101.4,1075588161.48
317,39063683,34635776,101.2,1073710740.48
318,38997535,34639872,101.4,1075531979.14
319,39121220,34639872,100.9,1072131595.08
320,38955591,34639872,101.5,1076690018.64
321,39001424,34639872,101.3,1075424733.21
322,39362181,34639872,100.4,1065568394.19
323,38996980,34639872,101.4,1075547285.97
324,39263701,34643968,100.6,1068241019.87
325,39147257,34643968,101.0,1071418515.99
326,39128442,34643968,100.9,1071933710.01
327,39148146,34643968,101.0,1071394185.56
328,39205608,34643968,75.5,1069823888.46
329,39010628,34643968,101.3,1075171002.12
330,38991646,34643968,101.4,1075694419.26
331,38946925,34643968,101.5,1076929590.72
332,39093350,34643968,101.1,1072895927.31
333,39078479,34643968,101.1,1073304209.20
334,39052017,34643968,101.2,1074031489.85
335,39006721,34643968,101.3,1075278693.64
336,39126961,34643968,101.1,1071974283.92
337,38925258,34643968,101.6,1077529042.97
338,38969239,34643968,101.4,1076312934.93
339,38947203,34643968,101.5,1076921903.74
340,39085590,34643968,101.1,1073108938.61
341,39060868,34643968,75.9,1073788119.61
342,38950351,34643968,101.5,1076834866.01
343,39013961,34643968,101.3,1075079149.23
344,38992387,34643968,101.4,1075673977.08
345,38938277,34643968,101.4,1077168771.49
346,38979628,34643968,101.4,1076026071.88
347,38996091,34643968,101.4,1075571805.39
348,39192738,34643968,100.9,1070175194.19
349,39250423,34643968,100.7,1068602394.43
350,39104128,34643968,101.1,1072600212.44
351,39185553,34643968,100.9,1070371419.79
352,39044850,34643968,101.3,1074228637.07
353,39083757,34643968,101.2,1073159266.65
354,39080961,34643968,101.0,1073236044.53
355,39097609,34643968,101.1,1072779054.08
356,38904314,34643968,101.6,1078109126.92
357,39023461,34643968,101.3,1074817428.42
358,38979943,34643968,101.4,1076017376.42
359,39112368,34643968,101.1,1072374242.34
360,39073461,34643968,75.9,1073442048.04
361,39004610,34643968,101.4,1075336889.67
362,39119146,34643968,126.1,1072188436.83
363,39019072,34643968,101.3,1074938327.60
364,38984202,34643968,101.4,1075899822.19
365,39036165,34643968,101.3,1074467637.89
