Trial,Enc_Latency_ns,Enc_RAM_Bytes,CPU_Percent,Enc_Throughput_bps
585,39283423,29507584,100.6,1067704716.06
586,39267756,29507584,100.7,1068130707.55
587,39265701,29507584,100.6,1068186608.97
588,39316571,29507584,100.5,1066804528.81
589,39248960,29507584,100.7,1068642226.44
590,39262163,29507584,100.6,1068282865.62
591,39283645,29507584,100.6,1067698682.24
592,39252794,29507584,100.7,1068537847.27
593,39248312,29507584,100.7,1068659870.01
594,39261701,29511680,100.6,1068295436.31
595,39230793,29511680,100.5,1069137093.41
596,39257978,29511680,100.5,1068396747.28
597,39294923,29511680,100.6,1067392243.01
598,39377811,29511680,100.4,1065145444.47
599,39265941,29511680,100.7,1068180080.03
600,39346255,29511680,100.4,1065999699.34
601,39232868,29511680,100.7,1069080547.46
602,39255386,29511680,100.6,1068467292.62
603,39377274,29511680,100.3,1065159970.19
604,39266460,29511680,100.6,1068165961.48
605,39313015,29511680,100.5,1066901025.02
606,39261423,29511680,100.6,1068303000.63
607,39264108,29511680,100.6,1068229946.80
608,39436330,29511680,100.2,1063564890.55
609,39425348,29511680,100.2,1063861148.42
610,39311478,29511680,100.5,1066942738.71
611,39248015,29511680,100.7,1068667956.84
612,39290960,29511680,100.6,1067499903.29
613,39239812,29511680,100.6,1068891359.62
614,39237312,29511680,100.7,1068959463.89
615,39249478,29511680,100.6,1068628122.90
616,39280923,29511680,100.6,1067772669.19
617,39273571,29511680,75.5,1067972555.90
618,39239034,29511680,100.7,1068912552.74
619,39269608,29511680,100.6,1068080333.27
620,39254867,29511680,100.7,1068481419.13
621,39240775,29511680,100.7,1068865128.17
622,39280774,29511680,100.6,1067776719.47
623,39279775,29515776,100.5,1067803876.17
624,39368644,29515776,100.3,1065393463.89
625,39340015,29515776,100.4,1066168785.14
626,39249553,29515776,100.7,1068626080.91
627,39248590,29515776,100.7,1068652300.63
628,39274404,29515776,100.6,1067949904.47
629,39347349,29515776,100.4,1065970060.65
630,39251534,29515776,100.6,1068572148.03
631,39249072,29515776,100.7,1068639177.00
632,39233108,29515776,100.6,1069074007.60
633,39286886,29515776,100.6,1067610601.66
634,39264590,29515776,100.6,1068216833.54
635,39409923,29515776,100.2,1064277542.49
636,39266867,29515776,100.6,1068154889.97
637,39269756,29515776,100.6,1068076307.88
638,39251571,29515776,100.6,1068571140.76
639,39255534,29515776,100.7,1068463264.31
640,39252535,29515776,100.7,1068544897.80
641,39256405,29515776,100.7,1068439557.83
642,39266979,29515776,75.5,1068151843.31
643,39253552,29515776,100.7,1068517213.42
644,39257553,29515776,100.6,1068408313.68
645,39296423,29515776,100.6,1067351499.14
646,39343941,29515776,100.4,1066062395.73
647,39383589,29515776,100.3,1064989176.08
648,39259886,29515776,100.6,1068344824.03
649,39273775,29515776,100.5,1067967008.52
650,39351126,29515776,100.3,1065867746.71
651,39320182,29515776,100.5,1066706557.97
652,39245979,29515776,100.7,1068723397.12
653,39247183,29515776,100.6,1068690611.50
654,39432662,29515776,100.2,1063663822.65
655,39246293,29515776,100.7,1068714846.52
