Trial,Latency_ns,RAM_Bytes,CPU_Percent,Throughput_bps
316,158935460,34603008,100.4,263900629.85
317,159589546,34603008,100.0,262819019.49
318,158570154,34603008,94.3,264508590.94
319,159328081,34603008,100.1,263250318.07
320,158511650,34603008,100.6,264606216.64
321,159872752,34603008,99.8,262353449.70
322,159023165,34603008,100.3,263755082.47
323,158309236,34603008,100.8,264944541.83
324,159171022,34603008,106.5,263510075.35
325,159091683,34603008,100.3,263641487.78
326,158953988,34607104,100.4,263869869.06
327,158774492,34607104,94.2,264168176.33
328,159061343,34607104,100.3,263691775.82
329,160128935,34607104,99.6,261933722.35
330,158122471,34607104,100.9,265257478.81
331,160042169,34607104,99.7,262075728.30
332,158967034,34607104,100.4,263848213.96
333,158913826,34607104,100.4,263936556.41
334,158690433,34607104,100.5,264308107.35
335,158020120,34607104,101.0,265429288.37
336,158492137,34607104,100.7,264638794.04
337,159287511,34607104,100.2,263317367.05
338,159071421,34607104,100.3,263675069.58
339,158161946,34607104,100.9,265191274.27
340,159686719,34607104,99.9,262659088.14
341,156653030,34607104,95.5,267745654.20
342,158325023,34607104,100.8,264918123.52
343,157557708,34607104,101.3,266208289.85
344,158846673,34607104,100.4,264048136.53
345,158163844,34607104,100.9,265188091.91
346,158469145,34607104,100.7,264677190.00
347,158003227,34607104,101.0,265457666.89
348,158663817,34611200,94.3,264352445.27
349,158717098,34611200,100.5,264263702.70
350,158581607,34611200,100.6,264489487.74
351,158893945,34611200,100.4,263969580.46
352,159176798,34611200,100.2,263500513.44
353,158617096,34611200,100.6,264430310.84
354,159466348,34611200,100.1,263022064.07
355,158670215,34615296,100.5,264341785.89
356,157632380,34615296,101.2,266082184.38
357,158360952,34615296,100.8,264858018.79
358,158658511,34615296,100.6,264361285.98
359,159132587,34615296,94.0,263573720.45
360,159017658,34615296,100.3,263764216.68
361,158251307,34615296,100.8,265041526.64
362,158917391,34615296,100.4,263930635.51
363,159564938,34615296,100.0,262859551.26
364,158213952,34615296,100.8,265104104.09
365,158482027,34615296,100.6,264655676.07
366,158953205,34615296,100.4,263871168.88
367,159657251,34615296,99.9,262707567.22
368,158303061,34615296,100.8,264954876.65
369,157868882,34619392,101.1,265683568.98
370,159798724,34619392,99.9,262474986.97
371,159496055,34619392,100.0,262973074.79
372,158650026,34619392,94.3,264375424.68
373,158788513,34619392,100.5,264144850.33
374,158906244,34619392,100.4,263949149.79
375,159300921,34619392,100.1,263295200.91
376,158831387,34619392,100.4,264073548.64
377,158004716,34619392,101.0,265455165.27
378,159199224,34619392,100.2,263463394.77
379,157116220,34619392,95.2,266956320.61
380,159071785,34619392,100.3,263674466.22
381,158084271,34619392,100.9,265321576.49
382,158466668,34619392,100.7,264681327.18
383,159228241,34619392,100.2,263415382.45
384,159723364,34619392,99.9,262598826.81
385,159365279,34619392,100.1,263188871.90
386,159722268,34619392,99.9,262600628.74
387,159432729,34619392,100.1,263077526.57
388,158547962,34619392,100.6,264545614.28
389,159147875,34619392,100.2,263548401.13
390,158155916,34619392,100.9,265201385.20
391,158120845,34619392,100.9,265260206.52
392,160015780,34619392,99.7,262118948.52
393,158817400,34619392,100.5,264096805.51
394,158762526,34619392,94.2,264188086.80
395,158898517,34619392,100.4,263961985.25
396,159172925,34619392,100.2,263506924.94
397,159092978,34619392,100.3,263639341.77
398,158565894,34619392,100.6,264515697.18
399,158941938,34619392,100.4,263889874.05
400,157558212,34619392,101.3,266207438.30
401,159661359,34619392,99.9,262700807.90
402,158713682,34619392,100.5,264269390.46
403,158082067,34619392,100.9,265325275.64
404,158414302,34619392,100.7,264768821.19
405,158605463,34619392,94.3,264449705.62
406,158464195,34619392,100.7,264685457.81
407,159014307,34619392,100.3,263769775.13
408,158575628,34619392,100.6,264499460.16
409,160990889,34619392,99.1,260531314.91
410,159483205,34619392,100.0,262994263.25
411,159895232,34623488,99.6,262316564.89
412,159063396,34627584,100.2,263688372.40
413,159562153,34627584,106.2,262864139.22
414,158206373,34627584,94.5,265116804.11
415,158314251,34627584,100.8,264936149.05
416,159255995,34627584,100.2,263369476.30
417,158475553,34627584,100.7,264666487.71
418,159074928,34627584,100.3,263669256.54
419,158427160,34627584,100.7,264747332.46
420,158663269,34627584,100.5,264353358.31
421,157996668,34627584,101.0,265468686.97
422,160036856,34627584,99.7,262084428.85
423,159271378,34627584,100.2,263344039.13
424,159221986,34627584,100.2,263425730.67
425,158821793,34627584,100.4,264089500.61
426,159233266,34627584,100.2,263407069.73
427,157943880,34627584,94.7,265557411.91
428,158880268,34627584,100.4,263992303.94
429,159149272,34627584,100.3,263546087.73
430,159003595,34627584,100.3,263787545.18
431,159872561,34627584,99.8,262353763.13
432,158342384,34627584,100.8,264889077.33
433,159283578,34627584,100.2,263323868.83
434,159476812,34627584,100.0,263004805.99
435,158615106,34627584,100.6,264433628.41
436,159465788,34627584,100.0,263022987.73
437,159260922,34627584,100.2,263361328.52
438,158202702,34627584,100.8,265122955.99
439,159002756,34627584,100.3,263788937.09
440,159087020,34627584,100.3,263649215.38
441,158778183,34627584,100.5,264162035.41
442,161839442,34627584,98.6,259165302.86
443,159052902,34627584,100.3,263705770.05
444,158784643,34627584,100.5,264151288.23
445,159272342,34627584,100.2,263342445.23
446,159519915,34627584,100.0,262933740.91
447,158900534,34627584,94.1,263958634.65
448,159815948,34627584,106.1,262446699.00
449,157245313,34627584,95.1,266737158.65
450,158285179,34627584,100.8,264984809.47
451,159367658,34627584,100.1,263184943.08
452,159489166,34627584,100.0,262984433.69
453,158957346,34627584,100.3,263864294.76
454,157583035,34631680,101.2,266165504.43
455,159638375,34631680,99.9,262738630.36
456,158613122,34631680,100.6,264436936.06
457,158476631,34631680,100.7,264664687.38
458,159523775,34631680,100.0,262927378.69
459,159168621,34631680,100.2,263514050.30
460,158650777,34631680,94.3,264374173.22
461,159743784,34631680,106.1,262565258.88
462,159585625,34631680,93.7,262825476.92
463,158712790,34631680,100.5,264270875.71
464,159051183,34631680,100.3,263708620.14
465,158890413,34631680,100.4,263975448.29
466,160545950,34631680,99.4,261253354.57
467,157357511,34631680,101.4,266546971.50
468,159921032,34631680,99.8,262274245.45
469,157827319,34631680,101.1,265753535.36
470,158418266,34631680,100.7,264762196.05
471,158743231,34631680,100.5,264220198.47
472,158199272,34631680,100.8,265128704.26
473,156604476,34631680,95.5,267828666.66
474,159073805,34631680,100.3,263671117.94
475,159103622,34635776,100.3,263621704.35
476,157846317,34635776,101.1,265721549.90
477,158277327,34635776,100.8,264997955.14
478,159255946,34635776,100.2,263369557.33
479,159419323,34635776,100.1,263099649.47
480,157546831,34635776,101.3,266226668.82
481,157345632,34635776,95.1,266567094.79
482,159138267,34635776,100.2,263564312.91
483,157869574,34635776,101.1,265682404.39
484,159728120,34635776,99.9,262591007.77
485,159315571,34635776,100.1,263270989.37
486,159224528,34635776,100.2,263421525.11
487,158687327,34635776,100.5,264313280.67
488,157965928,34635776,101.0,265520346.89
489,158514335,34635776,100.7,264601734.60
490,158196647,34635776,100.8,265133103.61
491,159307823,34635776,100.1,263283793.67
492,158610318,34635776,100.6,264441610.92
493,158784829,34635776,94.2,264150978.81
494,159212042,34635776,100.2,263442183.60
495,158345228,34635776,100.7,264884319.72
496,159244897,34639872,100.2,263387830.88
497,158306346,34639872,100.8,264949378.59
498,157881620,34639872,101.0,265662133.44
499,159962958,34639872,99.7,262205503.85
500,159819892,34639872,99.8,262440222.40
501,159805892,34639872,99.8,262463213.81
502,159146183,34639872,100.2,263551203.11
503,158207419,34639872,100.8,265115051.27
504,158793609,34639872,100.5,264136373.40
505,159096380,34639872,100.3,263633704.30
506,159617320,34639872,99.9,262773288.01
507,158838178,34639872,100.4,264062258.38
508,159184181,34639872,100.2,263488292.22
509,159220203,34639872,100.2,263428680.59
510,158722469,34639872,100.5,264254760.30
511,158269732,34639872,100.8,265010671.78
512,159839479,34639872,93.6,262408062.53
513,159199179,34639872,100.2,263463469.24
514,159937467,34639872,99.7,262247294.44
515,157917321,34639872,101.0,265602074.14
516,158674738,34639872,100.5,264334250.86
517,159253143,34639872,100.2,263374192.87
518,158932827,34639872,94.1,263905001.83
519,159505214,34639872,100.0,262957974.53
520,158912104,34639872,100.4,263939416.47
521,158332048,34639872,100.7,264906369.43
522,160258461,34639872,99.6,261722019.16
523,158813039,34639872,100.5,264104057.60
524,159714391,34639872,99.9,262613580.01
525,160477088,34639872,99.4,261365460.47
526,161100126,34639872,99.0,260354656.71
