Trial,Latency_ns,RAM_Bytes,Throughput_bps
464,495810,13758464,1057437324.78
465,495496,13758464,1058107431.75
466,495273,13758464,1058583851.73
467,495421,13758464,1058267614.82
468,495422,13758464,1058265478.72
469,495532,13758464,1058030561.09
470,504403,13758464,1039422842.45
471,496051,13758464,1056923582.45
472,496810,13758464,1055308870.59
473,495736,13758464,1057595171.62
474,495977,13758464,1057081275.95
475,495736,13758464,1057595171.62
476,495902,13758464,1057241148.45
477,495884,13758464,1057279525.05
478,506032,13758464,1036076769.85
479,496013,13758464,1057004554.32
480,495587,13758464,1057913141.39
481,495643,13758464,1057793613.55
482,495625,13758464,1057832030.26
483,495625,13758464,1057832030.26
484,495662,13758464,1057753065.60
485,504624,13758464,1038967627.38
486,495588,13758464,1057911006.72
487,495569,13758464,1057951566.78
488,495829,13758464,1057396804.14
489,495958,13758464,1057121772.41
490,495513,13758464,1058071130.32
491,495606,13758464,1057872584.27
492,504162,13758464,1039919708.35
493,496255,13758464,1056489103.38
494,495717,13758464,1057635707.47
495,495384,13758464,1058346656.33
496,495643,13758464,1057793613.55
497,496217,13762560,1056570008.69
498,495847,13762560,1057358419.03
499,495662,13766656,1057753065.60
500,506180,13766656,1035773835.39
501,495810,13766656,1057437324.78
502,495773,13766656,1057516242.31
503,495366,13766656,1058385113.23
504,495606,13766656,1057872584.27
505,495403,13766656,1058306065.97
506,495755,13766656,1057554638.88
507,505477,13766656,1037214353.97
508,495698,13766656,1057676246.42
509,495533,13766656,1058028425.96
510,495421,13766656,1058267614.82
511,495699,13766656,1057674112.72
512,495699,13766656,1057674112.72
513,495403,13766656,1058306065.97
514,495347,13766656,1058425709.65
515,495958,13766656,1057121772.41
516,496014,13766656,1057002423.32
517,496181,13766656,1056646667.24
518,497514,13766656,1053815571.02
519,497551,13766656,1053737204.83
520,496310,13766656,1056372025.55
521,495458,13766656,1058188585.11
522,512662,13774848,1022677709.68
523,498384,13774848,1051975986.39
524,495865,13774848,1057320036.70
525,495569,13774848,1057951566.78
526,495680,13774848,1057714654.62
527,495551,13774848,1057989994.98
528,495347,13774848,1058425709.65
529,507162,13774848,1033768302.83
530,496162,13774848,1056687130.41
531,495607,13774848,1057870449.77
532,495791,13774848,1057477848.53
533,495569,13774848,1057951566.78
534,495458,13774848,1058188585.11
535,495847,13774848,1057358419.03
536,496384,13774848,1056214543.58
537,496551,13774848,1055859317.57
538,495570,13774848,1057949431.97
539,495717,13774848,1057635707.47
540,495347,13774848,1058425709.65
541,495736,13774848,1057595171.62
542,495348,13774848,1058423572.92
543,495329,13774848,1058464172.30
544,504680,13774848,1038852342.08
545,495847,13774848,1057358419.03
546,495569,13774848,1057951566.78
547,495458,13774848,1058188585.11
548,496032,13774848,1056964066.83
549,495513,13774848,1058071130.32
550,495754,13774848,1057556772.11
551,505773,13774848,1036607331.75
552,495884,13774848,1057279525.05
553,495773,13774848,1057516242.31
554,495718,13774848,1057633573.93
555,495644,13774848,1057791479.37
556,495643,13774848,1057793613.55
557,495754,13774848,1057556772.11
558,495903,13774848,1057239016.50
559,504181,13774848,1039880519.10
560,495755,13774848,1057554638.88
561,496199,13778944,1056608336.57
562,495661,13778944,1057755199.62
563,496161,13783040,1056689260.14
564,495847,13783040,1057358419.03
565,495865,13783040,1057320036.70
566,510106,13783040,1027802064.67
567,495995,13783040,1057042913.74
568,495680,13783040,1057714654.62
569,495514,13783040,1058068995.02
570,495385,13783040,1058344519.92
571,495699,13783040,1057674112.72
572,495569,13783040,1057951566.78
573,509977,13783040,1028062049.86
574,496032,13783040,1056964066.83
575,495865,13783040,1057320036.70
576,495625,13783040,1057832030.26
577,495754,13783040,1057556772.11
578,495940,13783040,1057160140.34
579,495810,13783040,1057437324.78
580,495606,13783040,1057872584.27
581,527680,13783040,993571861.73
582,496606,13783040,1055742379.27
583,495958,13783040,1057121772.41
584,495866,13783040,1057317904.43
585,496033,13783040,1056961936.00
586,495681,13783040,1057712520.75
587,495736,13783040,1057595171.62
588,505607,13783040,1036947668.84
589,495940,13783040,1057160140.34
590,495755,13783040,1057554638.88
591,495922,13783040,1057198511.06
592,495791,13783040,1057477848.53
593,495884,13783040,1057279525.05
594,495977,13783040,1057081275.95
595,504347,13783040,1039538254.42
596,496088,13783040,1056844753.35
597,496273,13783040,1056450784.15
598,495644,13783040,1057791479.37
599,495754,13783040,1057556772.11
600,495810,13783040,1057437324.78
601,495717,13783040,1057635707.47
